operation_id,index,history,source_ordinal,operation_class,parent_receipts,successor,resource_role
op-0001,1,run,-,RUN_PREPARE,execution-plan+evaluation-plan-seal+run-authorization,op-0002,reservation+manifest+owner+single-use-gate
op-0002,2,h01,001,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:001,op-0003,receptor:h01:001
op-0003,3,h01,001,COMPOSITE_FORMATION,result:op-0002+state:h01:000,op-0004,formation:h01:001
op-0004,4,h01,002,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:002,op-0005,receptor:h01:002
op-0005,5,h01,002,COMPOSITE_FORMATION,result:op-0004+result:op-0003,op-0006,formation:h01:002
op-0006,6,h01,003,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:003,op-0007,receptor:h01:003
op-0007,7,h01,003,COMPOSITE_FORMATION,result:op-0006+result:op-0005,op-0008,formation:h01:003
op-0008,8,h01,004,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:004,op-0009,receptor:h01:004
op-0009,9,h01,004,COMPOSITE_FORMATION,result:op-0008+result:op-0007,op-0010,formation:h01:004
op-0010,10,h01,005,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:005,op-0011,receptor:h01:005
op-0011,11,h01,005,COMPOSITE_FORMATION,result:op-0010+result:op-0009,op-0012,formation:h01:005
op-0012,12,h01,006,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:006,op-0013,receptor:h01:006
op-0013,13,h01,006,COMPOSITE_FORMATION,result:op-0012+result:op-0011,op-0014,formation:h01:006
op-0014,14,h01,007,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:007,op-0015,receptor:h01:007
op-0015,15,h01,007,COMPOSITE_FORMATION,result:op-0014+result:op-0013,op-0016,formation:h01:007
op-0016,16,h01,008,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:008,op-0017,receptor:h01:008
op-0017,17,h01,008,COMPOSITE_FORMATION,result:op-0016+result:op-0015,op-0018,formation:h01:008
op-0018,18,h01,009,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:009,op-0019,receptor:h01:009
op-0019,19,h01,009,COMPOSITE_FORMATION,result:op-0018+result:op-0017,op-0020,formation:h01:009
op-0020,20,h01,010,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:010,op-0021,receptor:h01:010
op-0021,21,h01,010,COMPOSITE_FORMATION,result:op-0020+result:op-0019,op-0022,formation:h01:010
op-0022,22,h01,011,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:011,op-0023,receptor:h01:011
op-0023,23,h01,011,COMPOSITE_FORMATION,result:op-0022+result:op-0021,op-0024,formation:h01:011
op-0024,24,h01,012,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:012,op-0025,receptor:h01:012
op-0025,25,h01,012,COMPOSITE_FORMATION,result:op-0024+result:op-0023,op-0026,formation:h01:012
op-0026,26,h01,013,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h01:013,op-0027,receptor:h01:013
op-0027,27,h01,013,COMPOSITE_FORMATION,result:op-0026+result:op-0025,op-0028,formation:h01:013
op-0028,28,h02,001,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:001,op-0029,receptor:h02:001
op-0029,29,h02,001,COMPOSITE_FORMATION,result:op-0028+state:h02:000,op-0030,formation:h02:001
op-0030,30,h02,002,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:002,op-0031,receptor:h02:002
op-0031,31,h02,002,COMPOSITE_FORMATION,result:op-0030+result:op-0029,op-0032,formation:h02:002
