operation_id,index,history,source_ordinal,operation_class,parent_receipts,successor,resource_role
op-0032,32,h02,003,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:003,op-0033,receptor:h02:003
op-0033,33,h02,003,COMPOSITE_FORMATION,result:op-0032+result:op-0031,op-0034,formation:h02:003
op-0034,34,h02,004,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:004,op-0035,receptor:h02:004
op-0035,35,h02,004,COMPOSITE_FORMATION,result:op-0034+result:op-0033,op-0036,formation:h02:004
op-0036,36,h02,005,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:005,op-0037,receptor:h02:005
op-0037,37,h02,005,COMPOSITE_FORMATION,result:op-0036+result:op-0035,op-0038,formation:h02:005
op-0038,38,h02,006,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:006,op-0039,receptor:h02:006
op-0039,39,h02,006,COMPOSITE_FORMATION,result:op-0038+result:op-0037,op-0040,formation:h02:006
op-0040,40,h02,007,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:007,op-0041,receptor:h02:007
op-0041,41,h02,007,COMPOSITE_FORMATION,result:op-0040+result:op-0039,op-0042,formation:h02:007
op-0042,42,h02,008,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:008,op-0043,receptor:h02:008
op-0043,43,h02,008,COMPOSITE_FORMATION,result:op-0042+result:op-0041,op-0044,formation:h02:008
op-0044,44,h02,009,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:009,op-0045,receptor:h02:009
op-0045,45,h02,009,COMPOSITE_FORMATION,result:op-0044+result:op-0043,op-0046,formation:h02:009
op-0046,46,h02,010,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:010,op-0047,receptor:h02:010
op-0047,47,h02,010,COMPOSITE_FORMATION,result:op-0046+result:op-0045,op-0048,formation:h02:010
op-0048,48,h02,011,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:011,op-0049,receptor:h02:011
op-0049,49,h02,011,COMPOSITE_FORMATION,result:op-0048+result:op-0047,op-0050,formation:h02:011
op-0050,50,h02,012,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:012,op-0051,receptor:h02:012
op-0051,51,h02,012,COMPOSITE_FORMATION,result:op-0050+result:op-0049,op-0052,formation:h02:012
op-0052,52,h02,013,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h02:013,op-0053,receptor:h02:013
op-0053,53,h02,013,COMPOSITE_FORMATION,result:op-0052+result:op-0051,op-0054,formation:h02:013
op-0054,54,h03,001,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:001,op-0055,receptor:h03:001
op-0055,55,h03,001,COMPOSITE_FORMATION,result:op-0054+state:h03:000,op-0056,formation:h03:001
op-0056,56,h03,002,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:002,op-0057,receptor:h03:002
op-0057,57,h03,002,COMPOSITE_FORMATION,result:op-0056+result:op-0055,op-0058,formation:h03:002
op-0058,58,h03,003,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:003,op-0059,receptor:h03:003
op-0059,59,h03,003,COMPOSITE_FORMATION,result:op-0058+result:op-0057,op-0060,formation:h03:003
op-0060,60,h03,004,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:004,op-0061,receptor:h03:004
op-0061,61,h03,004,COMPOSITE_FORMATION,result:op-0060+result:op-0059,op-0062,formation:h03:004
op-0062,62,h03,005,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:005,op-0063,receptor:h03:005
op-0063,63,h03,005,COMPOSITE_FORMATION,result:op-0062+result:op-0061,op-0064,formation:h03:005
op-0064,64,h03,006,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:006,op-0065,receptor:h03:006
op-0065,65,h03,006,COMPOSITE_FORMATION,result:op-0064+result:op-0063,op-0066,formation:h03:006
op-0066,66,h03,007,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:007,op-0067,receptor:h03:007
op-0067,67,h03,007,COMPOSITE_FORMATION,result:op-0066+result:op-0065,op-0068,formation:h03:007
op-0068,68,h03,008,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:008,op-0069,receptor:h03:008
op-0069,69,h03,008,COMPOSITE_FORMATION,result:op-0068+result:op-0067,op-0070,formation:h03:008
op-0070,70,h03,009,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:009,op-0071,receptor:h03:009
op-0071,71,h03,009,COMPOSITE_FORMATION,result:op-0070+result:op-0069,op-0072,formation:h03:009
op-0072,72,h03,010,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:010,op-0073,receptor:h03:010
op-0073,73,h03,010,COMPOSITE_FORMATION,result:op-0072+result:op-0071,op-0074,formation:h03:010
op-0074,74,h03,011,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:011,op-0075,receptor:h03:011
op-0075,75,h03,011,COMPOSITE_FORMATION,result:op-0074+result:op-0073,op-0076,formation:h03:011
op-0076,76,h03,012,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:012,op-0077,receptor:h03:012
op-0077,77,h03,012,COMPOSITE_FORMATION,result:op-0076+result:op-0075,op-0078,formation:h03:012
op-0078,78,h03,013,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h03:013,op-0079,receptor:h03:013
op-0079,79,h03,013,COMPOSITE_FORMATION,result:op-0078+result:op-0077,op-0080,formation:h03:013
op-0080,80,h04,001,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:001,op-0081,receptor:h04:001
op-0081,81,h04,001,COMPOSITE_FORMATION,result:op-0080+state:h04:000,op-0082,formation:h04:001
op-0082,82,h04,002,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:002,op-0083,receptor:h04:002
op-0083,83,h04,002,COMPOSITE_FORMATION,result:op-0082+result:op-0081,op-0084,formation:h04:002
op-0084,84,h04,003,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:003,op-0085,receptor:h04:003
op-0085,85,h04,003,COMPOSITE_FORMATION,result:op-0084+result:op-0083,op-0086,formation:h04:003
op-0086,86,h04,004,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:004,op-0087,receptor:h04:004
op-0087,87,h04,004,COMPOSITE_FORMATION,result:op-0086+result:op-0085,op-0088,formation:h04:004
op-0088,88,h04,005,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:005,op-0089,receptor:h04:005
op-0089,89,h04,005,COMPOSITE_FORMATION,result:op-0088+result:op-0087,op-0090,formation:h04:005
op-0090,90,h04,006,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:006,op-0091,receptor:h04:006
op-0091,91,h04,006,COMPOSITE_FORMATION,result:op-0090+result:op-0089,op-0092,formation:h04:006
op-0092,92,h04,007,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:007,op-0093,receptor:h04:007
op-0093,93,h04,007,COMPOSITE_FORMATION,result:op-0092+result:op-0091,op-0094,formation:h04:007
op-0094,94,h04,008,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:008,op-0095,receptor:h04:008
op-0095,95,h04,008,COMPOSITE_FORMATION,result:op-0094+result:op-0093,op-0096,formation:h04:008
op-0096,96,h04,009,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:009,op-0097,receptor:h04:009
op-0097,97,h04,009,COMPOSITE_FORMATION,result:op-0096+result:op-0095,op-0098,formation:h04:009
op-0098,98,h04,010,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:010,op-0099,receptor:h04:010
op-0099,99,h04,010,COMPOSITE_FORMATION,result:op-0098+result:op-0097,op-0100,formation:h04:010
op-0100,100,h04,011,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:011,op-0101,receptor:h04:011
op-0101,101,h04,011,COMPOSITE_FORMATION,result:op-0100+result:op-0099,op-0102,formation:h04:011
op-0102,102,h04,012,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:012,op-0103,receptor:h04:012
op-0103,103,h04,012,COMPOSITE_FORMATION,result:op-0102+result:op-0101,op-0104,formation:h04:012
op-0104,104,h04,013,FORMATION_RECEPTOR_ANALYSIS,manifest+source:h04:013,op-0105,receptor:h04:013
op-0105,105,h04,013,COMPOSITE_FORMATION,result:op-0104+result:op-0103,op-0106,formation:h04:013
op-0106,106,h01,014,CONTEXT_RETRIEVAL_RECEPTOR_ANALYSIS,manifest+source:h01:014+state:result:op-0027,op-0107,context-receptor:h01:014
op-0107,107,h01,014,COMPOSITE_READ_ONLY_PROBE,result:op-0106+state:result:op-0027,op-0108,context-probe:h01
op-0108,108,h02,014,CONTEXT_RETRIEVAL_RECEPTOR_ANALYSIS,manifest+source:h02:014+state:result:op-0053,op-0109,context-receptor:h02:014
op-0109,109,h02,014,COMPOSITE_READ_ONLY_PROBE,result:op-0108+state:result:op-0053,op-0110,context-probe:h02
op-0110,110,h03,014,CONTEXT_RETRIEVAL_RECEPTOR_ANALYSIS,manifest+source:h03:014+state:result:op-0079,op-0111,context-receptor:h03:014
op-0111,111,h03,014,COMPOSITE_READ_ONLY_PROBE,result:op-0110+state:result:op-0079,op-0112,context-probe:h03
op-0112,112,h04,014,CONTEXT_RETRIEVAL_RECEPTOR_ANALYSIS,manifest+source:h04:014+state:result:op-0105,op-0113,context-receptor:h04:014
op-0113,113,h04,014,COMPOSITE_READ_ONLY_PROBE,result:op-0112+state:result:op-0105,op-0114,context-probe:h04
op-0114,114,shared,001,CONSUMER_RECEPTOR_ANALYSIS,manifest+source:shared:001,op-0115,consumer-receptor:shared:001
op-0115,115,shared,001,MASKED_PROBE_BIND,result:op-0114,op-0116,masked-probe:shared:001
op-0116,116,h01,014,S2GC_PROJECTION,result:op-0107,op-0117,s2gc:h01
op-0117,117,h02,014,S2GC_PROJECTION,result:op-0109,op-0118,s2gc:h02
op-0118,118,h03,014,S2GC_PROJECTION,result:op-0111,op-0119,s2gc:h03
op-0119,119,h04,014,S2GC_PROJECTION,result:op-0113,op-0120,s2gc:h04
op-0120,120,h01,014,S2GI_PROJECTION,result:op-0116,op-0121,s2gi:h01
op-0121,121,h02,014,S2GI_PROJECTION,result:op-0117,op-0122,s2gi:h02
op-0122,122,h03,014,S2GI_PROJECTION,result:op-0118,op-0123,s2gi:h03
op-0123,123,h04,014,S2GI_PROJECTION,result:op-0119,op-0124,s2gi:h04
op-0124,124,a01,-,ARM_EXECUTION,result:op-0115,op-0125,arm:a01
op-0125,125,a02,-,ARM_EXECUTION,result:op-0115+result:op-0120,op-0126,arm:a02
op-0126,126,a03,-,ARM_EXECUTION,result:op-0115+result:op-0120,op-0127,arm:a03
op-0127,127,a04,-,ARM_EXECUTION,result:op-0115+result:op-0121,op-0128,arm:a04
op-0128,128,a05,-,ARM_EXECUTION,result:op-0115+result:op-0121,op-0129,arm:a05
op-0129,129,a06,-,ARM_EXECUTION,result:op-0115+result:op-0123,op-0130,arm:a06
op-0130,130,a07,-,ARM_EXECUTION,result:op-0115+result:op-0122,op-0131,arm:a07
op-0131,131,run,-,EXECUTION_EVIDENCE_SEAL,receipts:op-0001..op-0130,op-0132,execution-evidence
op-0132,132,run,-,EVALUATION_RUN_BIND,result:op-0131+evaluation-plan-seal,op-0133,evaluation-binding
op-0133,133,e01,-,PURE_EVALUATION,evaluation-binding+arm:a01+a02+a03+target:e01,op-0134,evaluation:e01
op-0134,134,e02,-,PURE_EVALUATION,evaluation-binding+arm:a01+a04+a05+target:e02,op-0135,evaluation:e02
op-0135,135,e03,-,PURE_EVALUATION,evaluation-binding+arm:a06+target:e03,op-0136,evaluation:e03
op-0136,136,e04,-,PURE_EVALUATION,evaluation-binding+arm:a07+target:e04,op-0137,evaluation:e04
op-0137,137,run,-,FINAL_EVIDENCE_PUBLISH,result:op-0131+result:op-0132+receipts:op-0133..op-0136,op-0138,final-evidence
op-0138,138,run,-,TERMINAL_PUBLISH,artifact:final-evidence+result:op-0137,op-0139,terminal
op-0139,139,run,-,COMPLETION_MARKER_PUBLISH,artifact:terminal+result:op-0138,END,completion-marker
