failure_path_id,failed_operation,allowed_phase,successful_prefix_operation_count,successful_prefix_bytes,failed_operation_event_bytes,error_operation_event_bytes,error_artifact_bytes,path_total_bytes,terminal_result
fp-0000,op-0001,PRE_RESERVATION,0,0,0,0,0,0,START_BLOCKED
fp-0001,op-0001,POST_RESERVATION,0,4096,8192,24576,14336,51200,NOT_EVALUABLE
fp-0002,op-0002,REGISTERED_OPERATION_PHASE,1,28672,8192,24576,14336,75776,NOT_EVALUABLE
fp-0003,op-0003,REGISTERED_OPERATION_PHASE,2,40960,8192,24576,14336,88064,NOT_EVALUABLE
fp-0004,op-0004,REGISTERED_OPERATION_PHASE,3,53248,8192,24576,14336,100352,NOT_EVALUABLE
fp-0005,op-0005,REGISTERED_OPERATION_PHASE,4,65536,8192,24576,14336,112640,NOT_EVALUABLE
fp-0006,op-0006,REGISTERED_OPERATION_PHASE,5,77824,8192,24576,14336,124928,NOT_EVALUABLE
fp-0007,op-0007,REGISTERED_OPERATION_PHASE,6,90112,8192,24576,14336,137216,NOT_EVALUABLE
fp-0008,op-0008,REGISTERED_OPERATION_PHASE,7,102400,8192,24576,14336,149504,NOT_EVALUABLE
fp-0009,op-0009,REGISTERED_OPERATION_PHASE,8,114688,8192,24576,14336,161792,NOT_EVALUABLE
fp-0010,op-0010,REGISTERED_OPERATION_PHASE,9,126976,8192,24576,14336,174080,NOT_EVALUABLE
fp-0011,op-0011,REGISTERED_OPERATION_PHASE,10,139264,8192,24576,14336,186368,NOT_EVALUABLE
fp-0012,op-0012,REGISTERED_OPERATION_PHASE,11,151552,8192,24576,14336,198656,NOT_EVALUABLE
fp-0013,op-0013,REGISTERED_OPERATION_PHASE,12,163840,8192,24576,14336,210944,NOT_EVALUABLE
fp-0014,op-0014,REGISTERED_OPERATION_PHASE,13,176128,8192,24576,14336,223232,NOT_EVALUABLE
fp-0015,op-0015,REGISTERED_OPERATION_PHASE,14,188416,8192,24576,14336,235520,NOT_EVALUABLE
fp-0016,op-0016,REGISTERED_OPERATION_PHASE,15,200704,8192,24576,14336,247808,NOT_EVALUABLE
fp-0017,op-0017,REGISTERED_OPERATION_PHASE,16,212992,8192,24576,14336,260096,NOT_EVALUABLE
fp-0018,op-0018,REGISTERED_OPERATION_PHASE,17,225280,8192,24576,14336,272384,NOT_EVALUABLE
fp-0019,op-0019,REGISTERED_OPERATION_PHASE,18,237568,8192,24576,14336,284672,NOT_EVALUABLE
fp-0020,op-0020,REGISTERED_OPERATION_PHASE,19,249856,8192,24576,14336,296960,NOT_EVALUABLE
fp-0021,op-0021,REGISTERED_OPERATION_PHASE,20,262144,8192,24576,14336,309248,NOT_EVALUABLE
fp-0022,op-0022,REGISTERED_OPERATION_PHASE,21,274432,8192,24576,14336,321536,NOT_EVALUABLE
fp-0023,op-0023,REGISTERED_OPERATION_PHASE,22,286720,8192,24576,14336,333824,NOT_EVALUABLE
fp-0024,op-0024,REGISTERED_OPERATION_PHASE,23,299008,8192,24576,14336,346112,NOT_EVALUABLE
fp-0025,op-0025,REGISTERED_OPERATION_PHASE,24,311296,8192,24576,14336,358400,NOT_EVALUABLE
fp-0026,op-0026,REGISTERED_OPERATION_PHASE,25,323584,8192,24576,14336,370688,NOT_EVALUABLE
fp-0027,op-0027,REGISTERED_OPERATION_PHASE,26,335872,8192,24576,14336,382976,NOT_EVALUABLE
fp-0028,op-0028,REGISTERED_OPERATION_PHASE,27,348160,8192,24576,14336,395264,NOT_EVALUABLE
fp-0029,op-0029,REGISTERED_OPERATION_PHASE,28,360448,8192,24576,14336,407552,NOT_EVALUABLE
fp-0030,op-0030,REGISTERED_OPERATION_PHASE,29,372736,8192,24576,14336,419840,NOT_EVALUABLE
fp-0031,op-0031,REGISTERED_OPERATION_PHASE,30,385024,8192,24576,14336,432128,NOT_EVALUABLE
fp-0032,op-0032,REGISTERED_OPERATION_PHASE,31,397312,8192,24576,14336,444416,NOT_EVALUABLE
fp-0033,op-0033,REGISTERED_OPERATION_PHASE,32,409600,8192,24576,14336,456704,NOT_EVALUABLE
fp-0034,op-0034,REGISTERED_OPERATION_PHASE,33,421888,8192,24576,14336,468992,NOT_EVALUABLE
fp-0035,op-0035,REGISTERED_OPERATION_PHASE,34,434176,8192,24576,14336,481280,NOT_EVALUABLE
fp-0036,op-0036,REGISTERED_OPERATION_PHASE,35,446464,8192,24576,14336,493568,NOT_EVALUABLE
fp-0037,op-0037,REGISTERED_OPERATION_PHASE,36,458752,8192,24576,14336,505856,NOT_EVALUABLE
fp-0038,op-0038,REGISTERED_OPERATION_PHASE,37,471040,8192,24576,14336,518144,NOT_EVALUABLE
fp-0039,op-0039,REGISTERED_OPERATION_PHASE,38,483328,8192,24576,14336,530432,NOT_EVALUABLE
fp-0040,op-0040,REGISTERED_OPERATION_PHASE,39,495616,8192,24576,14336,542720,NOT_EVALUABLE
fp-0041,op-0041,REGISTERED_OPERATION_PHASE,40,507904,8192,24576,14336,555008,NOT_EVALUABLE
fp-0042,op-0042,REGISTERED_OPERATION_PHASE,41,520192,8192,24576,14336,567296,NOT_EVALUABLE
fp-0043,op-0043,REGISTERED_OPERATION_PHASE,42,532480,8192,24576,14336,579584,NOT_EVALUABLE
fp-0044,op-0044,REGISTERED_OPERATION_PHASE,43,544768,8192,24576,14336,591872,NOT_EVALUABLE
fp-0045,op-0045,REGISTERED_OPERATION_PHASE,44,557056,8192,24576,14336,604160,NOT_EVALUABLE
fp-0046,op-0046,REGISTERED_OPERATION_PHASE,45,569344,8192,24576,14336,616448,NOT_EVALUABLE
fp-0047,op-0047,REGISTERED_OPERATION_PHASE,46,581632,8192,24576,14336,628736,NOT_EVALUABLE
fp-0048,op-0048,REGISTERED_OPERATION_PHASE,47,593920,8192,24576,14336,641024,NOT_EVALUABLE
fp-0049,op-0049,REGISTERED_OPERATION_PHASE,48,606208,8192,24576,14336,653312,NOT_EVALUABLE
fp-0050,op-0050,REGISTERED_OPERATION_PHASE,49,618496,8192,24576,14336,665600,NOT_EVALUABLE
fp-0051,op-0051,REGISTERED_OPERATION_PHASE,50,630784,8192,24576,14336,677888,NOT_EVALUABLE
fp-0052,op-0052,REGISTERED_OPERATION_PHASE,51,643072,8192,24576,14336,690176,NOT_EVALUABLE
fp-0053,op-0053,REGISTERED_OPERATION_PHASE,52,655360,8192,24576,14336,702464,NOT_EVALUABLE
fp-0054,op-0054,REGISTERED_OPERATION_PHASE,53,667648,8192,24576,14336,714752,NOT_EVALUABLE
fp-0055,op-0055,REGISTERED_OPERATION_PHASE,54,679936,8192,24576,14336,727040,NOT_EVALUABLE
fp-0056,op-0056,REGISTERED_OPERATION_PHASE,55,692224,8192,24576,14336,739328,NOT_EVALUABLE
fp-0057,op-0057,REGISTERED_OPERATION_PHASE,56,704512,8192,24576,14336,751616,NOT_EVALUABLE
fp-0058,op-0058,REGISTERED_OPERATION_PHASE,57,716800,8192,24576,14336,763904,NOT_EVALUABLE
fp-0059,op-0059,REGISTERED_OPERATION_PHASE,58,729088,8192,24576,14336,776192,NOT_EVALUABLE
fp-0060,op-0060,REGISTERED_OPERATION_PHASE,59,741376,8192,24576,14336,788480,NOT_EVALUABLE
fp-0061,op-0061,REGISTERED_OPERATION_PHASE,60,753664,8192,24576,14336,800768,NOT_EVALUABLE
fp-0062,op-0062,REGISTERED_OPERATION_PHASE,61,765952,8192,24576,14336,813056,NOT_EVALUABLE
fp-0063,op-0063,REGISTERED_OPERATION_PHASE,62,778240,8192,24576,14336,825344,NOT_EVALUABLE
fp-0064,op-0064,REGISTERED_OPERATION_PHASE,63,790528,8192,24576,14336,837632,NOT_EVALUABLE
fp-0065,op-0065,REGISTERED_OPERATION_PHASE,64,802816,8192,24576,14336,849920,NOT_EVALUABLE
fp-0066,op-0066,REGISTERED_OPERATION_PHASE,65,815104,8192,24576,14336,862208,NOT_EVALUABLE
fp-0067,op-0067,REGISTERED_OPERATION_PHASE,66,827392,8192,24576,14336,874496,NOT_EVALUABLE
fp-0068,op-0068,REGISTERED_OPERATION_PHASE,67,839680,8192,24576,14336,886784,NOT_EVALUABLE
fp-0069,op-0069,REGISTERED_OPERATION_PHASE,68,851968,8192,24576,14336,899072,NOT_EVALUABLE
fp-0070,op-0070,REGISTERED_OPERATION_PHASE,69,864256,8192,24576,14336,911360,NOT_EVALUABLE
fp-0071,op-0071,REGISTERED_OPERATION_PHASE,70,876544,8192,24576,14336,923648,NOT_EVALUABLE
fp-0072,op-0072,REGISTERED_OPERATION_PHASE,71,888832,8192,24576,14336,935936,NOT_EVALUABLE
fp-0073,op-0073,REGISTERED_OPERATION_PHASE,72,901120,8192,24576,14336,948224,NOT_EVALUABLE
fp-0074,op-0074,REGISTERED_OPERATION_PHASE,73,913408,8192,24576,14336,960512,NOT_EVALUABLE
fp-0075,op-0075,REGISTERED_OPERATION_PHASE,74,925696,8192,24576,14336,972800,NOT_EVALUABLE
fp-0076,op-0076,REGISTERED_OPERATION_PHASE,75,937984,8192,24576,14336,985088,NOT_EVALUABLE
fp-0077,op-0077,REGISTERED_OPERATION_PHASE,76,950272,8192,24576,14336,997376,NOT_EVALUABLE
fp-0078,op-0078,REGISTERED_OPERATION_PHASE,77,962560,8192,24576,14336,1009664,NOT_EVALUABLE
fp-0079,op-0079,REGISTERED_OPERATION_PHASE,78,974848,8192,24576,14336,1021952,NOT_EVALUABLE
fp-0080,op-0080,REGISTERED_OPERATION_PHASE,79,987136,8192,24576,14336,1034240,NOT_EVALUABLE
fp-0081,op-0081,REGISTERED_OPERATION_PHASE,80,999424,8192,24576,14336,1046528,NOT_EVALUABLE
fp-0082,op-0082,REGISTERED_OPERATION_PHASE,81,1011712,8192,24576,14336,1058816,NOT_EVALUABLE
fp-0083,op-0083,REGISTERED_OPERATION_PHASE,82,1024000,8192,24576,14336,1071104,NOT_EVALUABLE
fp-0084,op-0084,REGISTERED_OPERATION_PHASE,83,1036288,8192,24576,14336,1083392,NOT_EVALUABLE
fp-0085,op-0085,REGISTERED_OPERATION_PHASE,84,1048576,8192,24576,14336,1095680,NOT_EVALUABLE
fp-0086,op-0086,REGISTERED_OPERATION_PHASE,85,1060864,8192,24576,14336,1107968,NOT_EVALUABLE
fp-0087,op-0087,REGISTERED_OPERATION_PHASE,86,1073152,8192,24576,14336,1120256,NOT_EVALUABLE
fp-0088,op-0088,REGISTERED_OPERATION_PHASE,87,1085440,8192,24576,14336,1132544,NOT_EVALUABLE
fp-0089,op-0089,REGISTERED_OPERATION_PHASE,88,1097728,8192,24576,14336,1144832,NOT_EVALUABLE
fp-0090,op-0090,REGISTERED_OPERATION_PHASE,89,1110016,8192,24576,14336,1157120,NOT_EVALUABLE
fp-0091,op-0091,REGISTERED_OPERATION_PHASE,90,1122304,8192,24576,14336,1169408,NOT_EVALUABLE
fp-0092,op-0092,REGISTERED_OPERATION_PHASE,91,1134592,8192,24576,14336,1181696,NOT_EVALUABLE
fp-0093,op-0093,REGISTERED_OPERATION_PHASE,92,1146880,8192,24576,14336,1193984,NOT_EVALUABLE
fp-0094,op-0094,REGISTERED_OPERATION_PHASE,93,1159168,8192,24576,14336,1206272,NOT_EVALUABLE
fp-0095,op-0095,REGISTERED_OPERATION_PHASE,94,1171456,8192,24576,14336,1218560,NOT_EVALUABLE
fp-0096,op-0096,REGISTERED_OPERATION_PHASE,95,1183744,8192,24576,14336,1230848,NOT_EVALUABLE
fp-0097,op-0097,REGISTERED_OPERATION_PHASE,96,1196032,8192,24576,14336,1243136,NOT_EVALUABLE
fp-0098,op-0098,REGISTERED_OPERATION_PHASE,97,1208320,8192,24576,14336,1255424,NOT_EVALUABLE
fp-0099,op-0099,REGISTERED_OPERATION_PHASE,98,1220608,8192,24576,14336,1267712,NOT_EVALUABLE
fp-0100,op-0100,REGISTERED_OPERATION_PHASE,99,1232896,8192,24576,14336,1280000,NOT_EVALUABLE
fp-0101,op-0101,REGISTERED_OPERATION_PHASE,100,1245184,8192,24576,14336,1292288,NOT_EVALUABLE
fp-0102,op-0102,REGISTERED_OPERATION_PHASE,101,1257472,8192,24576,14336,1304576,NOT_EVALUABLE
fp-0103,op-0103,REGISTERED_OPERATION_PHASE,102,1269760,8192,24576,14336,1316864,NOT_EVALUABLE
fp-0104,op-0104,REGISTERED_OPERATION_PHASE,103,1282048,8192,24576,14336,1329152,NOT_EVALUABLE
fp-0105,op-0105,REGISTERED_OPERATION_PHASE,104,1294336,8192,24576,14336,1341440,NOT_EVALUABLE
fp-0106,op-0106,REGISTERED_OPERATION_PHASE,105,1306624,8192,24576,14336,1353728,NOT_EVALUABLE
fp-0107,op-0107,REGISTERED_OPERATION_PHASE,106,1318912,8192,24576,14336,1366016,NOT_EVALUABLE
fp-0108,op-0108,REGISTERED_OPERATION_PHASE,107,1343488,8192,24576,14336,1390592,NOT_EVALUABLE
fp-0109,op-0109,REGISTERED_OPERATION_PHASE,108,1355776,8192,24576,14336,1402880,NOT_EVALUABLE
fp-0110,op-0110,REGISTERED_OPERATION_PHASE,109,1380352,8192,24576,14336,1427456,NOT_EVALUABLE
fp-0111,op-0111,REGISTERED_OPERATION_PHASE,110,1392640,8192,24576,14336,1439744,NOT_EVALUABLE
fp-0112,op-0112,REGISTERED_OPERATION_PHASE,111,1417216,8192,24576,14336,1464320,NOT_EVALUABLE
fp-0113,op-0113,REGISTERED_OPERATION_PHASE,112,1429504,8192,24576,14336,1476608,NOT_EVALUABLE
fp-0114,op-0114,REGISTERED_OPERATION_PHASE,113,1454080,8192,24576,14336,1501184,NOT_EVALUABLE
fp-0115,op-0115,REGISTERED_OPERATION_PHASE,114,1466368,8192,24576,14336,1513472,NOT_EVALUABLE
fp-0116,op-0116,REGISTERED_OPERATION_PHASE,115,1478656,8192,24576,14336,1525760,NOT_EVALUABLE
fp-0117,op-0117,REGISTERED_OPERATION_PHASE,116,1490944,8192,24576,14336,1538048,NOT_EVALUABLE
fp-0118,op-0118,REGISTERED_OPERATION_PHASE,117,1503232,8192,24576,14336,1550336,NOT_EVALUABLE
fp-0119,op-0119,REGISTERED_OPERATION_PHASE,118,1515520,8192,24576,14336,1562624,NOT_EVALUABLE
fp-0120,op-0120,REGISTERED_OPERATION_PHASE,119,1527808,8192,24576,14336,1574912,NOT_EVALUABLE
fp-0121,op-0121,REGISTERED_OPERATION_PHASE,120,1540096,8192,24576,14336,1587200,NOT_EVALUABLE
fp-0122,op-0122,REGISTERED_OPERATION_PHASE,121,1552384,8192,24576,14336,1599488,NOT_EVALUABLE
fp-0123,op-0123,REGISTERED_OPERATION_PHASE,122,1564672,8192,24576,14336,1611776,NOT_EVALUABLE
fp-0124,op-0124,REGISTERED_OPERATION_PHASE,123,1576960,8192,24576,14336,1624064,NOT_EVALUABLE
fp-0125,op-0125,REGISTERED_OPERATION_PHASE,124,1593344,8192,24576,14336,1640448,NOT_EVALUABLE
fp-0126,op-0126,REGISTERED_OPERATION_PHASE,125,1609728,8192,24576,14336,1656832,NOT_EVALUABLE
fp-0127,op-0127,REGISTERED_OPERATION_PHASE,126,1626112,8192,24576,14336,1673216,NOT_EVALUABLE
fp-0128,op-0128,REGISTERED_OPERATION_PHASE,127,1642496,8192,24576,14336,1689600,NOT_EVALUABLE
fp-0129,op-0129,REGISTERED_OPERATION_PHASE,128,1658880,8192,24576,14336,1705984,NOT_EVALUABLE
fp-0130,op-0130,REGISTERED_OPERATION_PHASE,129,1675264,8192,24576,14336,1722368,NOT_EVALUABLE
fp-0131,op-0131,REGISTERED_OPERATION_PHASE,130,1691648,8192,24576,14336,1738752,NOT_EVALUABLE
fp-0132,op-0132,REGISTERED_OPERATION_PHASE,131,1830912,8192,24576,14336,1878016,NOT_EVALUABLE
fp-0133,op-0133,REGISTERED_OPERATION_PHASE,132,1847296,8192,24576,14336,1894400,NOT_EVALUABLE
fp-0134,op-0134,REGISTERED_OPERATION_PHASE,133,1863680,8192,24576,14336,1910784,NOT_EVALUABLE
