arm,band_count,cue_event,cue_recipe,bank,slot_id,formation_index,candidate_recipe,cue_values_digest,candidate_values_digest,distance,threshold,reserve,matched
OBSERVED_24,24,e21,n00,B4,b4.slot.000,19,n10,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,b396a916a81ccb13c84726e6faf8fb1c13f755863d2a31fc38004bee810536de,0.05913292770797238,0.2,0.14086707229202763,True
OBSERVED_24,24,e21,n00,B4,b4.slot.001,20,n11,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,7722a925d75bd4cc3bc5ae2f7be923b760fdb76065af550fd1e48551423362a1,0.059132929095462965,0.2,0.14086707090453704,True
OBSERVED_24,24,e21,n00,B4,b4.slot.002,12,n03,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,6749cc5fd0e5b0c68bcd535ce36e22175b11a17122858be5387aacde68d41889,0.10248462371047533,0.2,0.09751537628952468,True
OBSERVED_24,24,e21,n00,B4,b4.slot.003,13,n04,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,c88c3f122a65e359e6741107db279c178bad20d44a091fe7b26d2d8784e22afa,0.09170437650692354,0.2,0.10829562349307648,True
OBSERVED_24,24,e21,n00,B4,b4.slot.004,14,n05,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,a9c0c56f278a3426e597d87d8d848605cf1fcaa39c483c6d30b32e2593ef3759,0.05913299612967459,0.2,0.1408670038703254,True
OBSERVED_24,24,e21,n00,B4,b4.slot.005,15,n06,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,01e75e08e2e645f286522d15c42e7ac87a8e82a7dbb40fd52a32265093898944,0.059132935309265146,0.2,0.14086706469073487,True
OBSERVED_24,24,e21,n00,B4,b4.slot.006,16,n07,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,443e0f0882449840951578bd2461d24a9496dc6cde77b120ab0a94bd0e6a33da,0.059132926188649314,0.2,0.1408670738113507,True
OBSERVED_24,24,e21,n00,B4,b4.slot.007,17,n08,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,23efc5104d9d7fb07e15a7958cc49f5a977138ed170a1409e4c88987e5daefe5,0.05913292550139834,0.2,0.14086707449860167,True
OBSERVED_24,24,e21,n00,B4,b4.slot.008,18,n09,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,20d661cac88e53abebffddd0f2d8b83fd8a4415d0bd2e8edbb4894e68d5628a1,0.059132926359670844,0.2,0.14086707364032916,True
OBSERVED_24,24,e21,n00,FAST,tspm1.fast.slot.000,19,n10,8eb460c63a75a1259725728b0a994f165bf36cc1b85911e0377186d27393f15a,b396a916a81ccb13c84726e6faf8fb1c13f755863d2a31fc38004bee810536de,0.05913292770797238,0.2,0.14086707229202763,True
